목록,국가,책이름,시리즈,저자,역자,출판사,초판,장서
1-2-1,중,诸葛装神,三国演义之41,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,五丈原,三国演义之42,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,政归司马氏,三国演义之43,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,铁笼山,三国演义之44,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,姜邓斗智,三国演义之45,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,姜维避祸,三国演义之46,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,二士争功,三国演义之47,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,三国归晋,三国演义之48,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,白话三国演义 上,,罗贯中 ,行人 刘文忠,中国青年出版社,,
1-2-1,중,白话三国演义 中,,罗贯中 ,行人 刘文忠,中国青年出版社,,
1-2-1,중,三国演义（图文本 二）,,罗贯中 ,,上海古籍出版社,,
1-2-1,중,三国演义（图文本 三）,,罗贯中 ,,上海古籍出版社,,
1-2-1,중,三国演义 彩绘全本,,金协中 三希堂,,中国书店,2019.5,
1-2-1,중,三国演义 绘图本,,,,上海人民美术出版社,1993.3,1993.8
1-2-1,중,白话三国演义,,罗贯中 ,行人 刘文忠,中国青年出版社,1992.9,
1-2-1,중,三国演义 少儿版,,,,吉林摄影出版社,2000.8,
1-2-1,일한,삼국지 1 도원편,,吉川英治,장현주,더스토리,20203.18,
1-2-1,일,三国志　長坂の攻防,三国志,横山光輝,,潮出版社,1985.6.1,
1-2-1,일,三国志 赤壁の戦,三国志,横山光輝,,潮出版社,1985.6.１,
1-2-1,일,三国志演義 1,,羅貫中,立間祥介,,2019.5.25,2023.9.5
1-2-1,일,三国志演義 2,,羅貫中,立間祥介,,2019.5.26,2023.2.5
1-2-1,일,三国志演義 3,,羅貫中,立間祥介,,2019.6.25,2023.3.15
1-2-1,일,三国志演義 4,,羅貫中,立間祥介,,2019.6.25,2023.9.30
1-2-1,,足本繪圖 삼국지연의 20권(외조부),,,,상해 茂记书莊,1916,
1-2-1,,회도 삼국지연의 16권,,,,鑄記書局,1919,
1-2-1,,增像 全圖 삼국연의 7권,,,,상해 錦章書局,"光绪 癸卯
仲冬",
1-2-1,,"繪圖 東西漢 연의
(서한연의 4권, 동한연의 2권)",,,,상해 光益書局,,
1-2-1,,소설 삼국지,,정비석,,,1985.2.5,
1-2-1,,"삼국연의 상,하",,나관중,李卓吾,黄山书社,1991.4,
1-2-1,,삼국연의,,나관중,모종강,삼민서국,,
1-2-1,,삼국연의,,나관중,,상해古籍出版社,1991.11,1993.12
1-2-1,,"삼국연의 상,하",,나관중,,인민문학출판사,1992,
1-2-1,,삼국연의,,나관중,,齐鲁书社,1992.7,
1-2-1,,삼국연의,,나관중,,江苏古籍出版社,1992.2,
1-2-1,,"삼국지연의 상,하",,나관중,모종강,산동문예출판사,1992.5,
1-2-1,,"삼국지 상,하",,진수찬,,岳麓书社,1990.7,1993.11
1-2-1,,삼국지 今譯,,,,中州古籍出版社,1991.12,
1-2-1,,"白话 삼국지 상,중,하",,나관중,刘文忠,중국청년출판사,1992.9,
1-2-1,,反삼국지,,周大荒,,강담사(동경),1991.9.20,1992.1.20
1-2-1,,"삼국연의 1,2冊",,나관중,모종강,산동인민인쇄창,1991.1,
1-2-1,,삼국연의,,나관중,,文源书局,1976.3,
1-2-1,,삼국연의,,,,联经出版,1980.12,1984
1-2-1,,삼국연의(중국고전문학 독본총서) 전2책,,,,인민문학출판사,1953.11,1973.12
1-2-1,,"삼국지 상,중,하",,나관중,최영해,정음사,1955.6.30,1970.6.30
1-2-1,,"삼국지 10권(2,5권 없음)",,나관중,최영해,정음사,1956.8.20,
1-2-1,,"삼국연의 상,하",,나관중,立間祥介,평범사,1968.1.6,1987.2.27
1-2-1,,삼국지 3권,,나관중,村上知行,河出書房,1968.8.25,1974.4.20
1-2-1,,삼국연의,,나관중,대만화일서국,내몽고인민출판사,1990.8,
1-2-1,,삼국연의 12권,,나관중,,海鸥出版,1975.3,
1-2-1,,삼국연의 회화본 5권,,,,상해인민미술출판사,1993.3,1993.8
1-2-1,,삼국지 6권,,나관중,林静,大原출판사,1990.9.10,1991.6.31
1-2-1,,삼국연의,,,,대만종문출판사,,
1-2-2 해설&평론,,,,,,,,
1-2-2,한,의리의 삼국지 1 대의와 반역,,나관중,장선영,옥합,2000.11.13,2000.11.20
1-2-2,한,의리의 삼국지 2 의리의 사나이 관운장,,나관중,장선영,옥합,2000.11.13,2000.11.20
1-2-2,한,의리의 삼국지 3 겸손과 오만,,나관중,장선영,옥합,2000.11.13,2000.11.20
1-2-2,한,삼국지연의도 태평성대를 염원하다,,,,겸재정선미술관,2019.1,
1-2-2,중한,본삼국지 1 일어서는 영웅들의 꿈,,나관중 모종강,리동혁,대현피앤피,2005.7.20,
1-2-2,중한,소설과 함께 읽는 도설 삼국지 촉나라편,,심백준,정수국,창해,2008.11.29,
1-2-2,중한,소설과 함께 읽는 도설 삼국지 오나라편,,심백준,정수국,창해,2008.11.29,
1-2-2,중한,소설과 함께 읽는 도설 삼국지 위나라편,,심백준,정수국,창해,2008.11.29,
1-2-2,중,《三国演义》 名师精讲 第一册,,罗贯中,徐子曰/徐子岳,江西教育出版社,2023.4,
1-2-2,중,《三国演义》 名师精讲 第二册,,罗贯中,徐子曰/徐子岳,江西教育出版社,2024.4,
1-2-2,중,《三国演义》 名师精讲 第三册,,罗贯中,徐子曰/徐子岳,江西教育出版社,2024.4,
1-2-2,중,《三国演义》 名师精讲 第四册,,罗贯中,徐子曰/徐子岳,江西教育出版社,2024.4,
1-2-2,중,李国文陪读三国演义 上,,罗贯中,李国文,四川文艺出版社,2019.1,
1-2-2,중,李国文陪读三国演义 中,,罗贯中,李国文,四川文艺出版社,2019.1,
1-2-2,중,李国文陪读三国演义 下,,罗贯中,李国文,四川文艺出版社,2019.1,
1-2-2,중,三国演义 上 毛宗岗评本 ,,罗贯中,毛宗岗,上海古籍出版社,2021.2,2023.8
1-2-2,중,三国演义 下 毛宗岗评本 ,,罗贯中,毛宗岗,上海古籍出版社,2021.2,2023.8
1-2-2,중,三国演义 上 毛宗岗批评本,,罗贯中,毛宗岗,岳麓书社,2015.9,2024.5
1-2-2,중,三国演义 下 毛宗岗批评本,,罗贯中,毛宗岗,岳麓书社,2015.9,2024.5
1-2-2,중,毛宗岗批评本 三国演义,,罗贯中,毛宗岗,江苏凤凰文艺出版社,2023.1,2023.8
1-2-2,중,三国演义研究论文集,,河南省社会科学院,,中华书局,1991.2,
1-2-2,중,《三国演义》智谋荟萃,,飞飞 苦艾,,作家出版社,1992.6,
1-2-2,일본,後三国演義,,寺尾善雄,,秀英書房,1980.3.25,
1-2-2,일,三国志演義の世界,,金文京,,東方書店,1993.10.3.,2018.12.1
1-2-2,일,三国志演義の世界,,金文京,,東方書店,1993.6.10,2000.6.10
1-2-2,대만,三國演義縱橫談,,邱振聲,,曉園出版社,1991.4,
1-2-2,,삼국외전,,호북성 군중예술관편,,상해문예출판사,1986.8,
1-2-2,,삼국연의 연구 논문집,,"하남성 사회과학원
문학연구소",,중화서국,1991.2,
1-2-2,,삼국연의 고평,,周兆新,,북경대학출판사,,
1-2-2,,삼국연의 纵横谈,,邱振生,,晓园出版社,1991.4,
1-2-2,,真假 삼국 纵横谈,,刘逸生,,远流出版社,1989.6.1,1992.9.1
1-2-2,,삼국인물 별전,,,,중국희극출판사,1990.11,
1-2-2,,삼국연의 의 전설,,,,남해출판,1990.8,1992.3
1-2-2,,삼국지연의의 비교문학적연구,,이경선,,일지사,1976.10.1,1978.11.30
1-2-2,,원본언문현토 삼국지연의 전5권,,金聖歡,,경성서적업조합,1927.1.25,
1-2-2,,소설이 아닌 삼국지(삼국연의 평전),,최명,,조선일보사,1993.11.20,1994.2.25
1-2-3 사전,,,,,,,,
1-2-3,한,한자 속의 중문문화,,이해원,,고려대학교출판부,2009.11.20,2005.5.4
1-2-3,한,삼국지 정역삼국지 부록,,나관중,정원기,현암사,2008.10.25,
1-2-3,한,삼국지연의 한국어 번역과 서사 변용,,"인하대학교 한국학연구소
기초학문연구단",,인하대학교출판부,2007.2.16,
1-2-3,중일,三国志演義大辞典,,李岚华,立間祥介,潮出版社,,1996.7
1-2-3,중,三国演义辞典,,沈伯俊 谭良啸,,巴蜀书社,1989.6,1991.7
1-2-3,일,三国志演義大事典,,立間祥介,,潮出版社,1996.7.30,
1-2-3,,삼국연의사전,,沈伯俊 谭良繍,,巴蜀书社,1989.6,
1-3 전기(傳記),,,,,,,,
1-3-1 제갈량,,,,,,,,
1-3-1,한,제갈량 리더십,,동팡원뤼,김효숙,렌덤하우스,2005.6.8,2008.4.1
1-3-1,한,소설 제갈공명 上,,陈舜臣,박희준,까치,1991.7.20,1994.1.5
1-3-1,한,제갈량의 지혜,,임양섭,,全人,1986.1.31,1986.2.8
1-3-1,한,評傳 제갈공명 ,,狩野直禎,임종삼,동국출판사,1983.3.1,1983.3.10
1-3-1,중한,제갈량 리더십,,동팡원뤼,김효숙,렌덤하우스중앙,2005.6.28,2005.9.20
1-3-1,중한,제갈량 문화유산 답사기 ,,제갈량편집팀,,에버리치,2007.7.20,
1-3-1,중한,제갈공명 일기,,츠솽밍,김윤진,국일미디어,2005.6.24,2006.9.25
1-3-1,중,诸葛亮 少年在阳都,,高润祥,,蓝天出版社,1998.8,2005.1
1-3-1,중,诸葛亮,三国故事 人物篇,,,,,
1-3-1,중,千古名相,,晋宏忠,,新世纪出版社,2006.11,
1-3-1,중,诸葛亮在襄阳隆中,,余鹏飞,,长江出版社,2014.7,
1-3-1,일,「三国志」真説諸葛孔明,,立間祥介,,三笠書房,1992.9.20,
1-3-1,일,諸葛孔明 - 「三国志」とその時代,,宮川尚志,,講談社,2011.1012,
1-3-1,일,マンガ 三国志X 諸葛孔明,,石ノ森章太郎,,飛鳥新社,2021.7.21,
1-3-1,일,诸葛孔明の生涯,,寺尾善雄,,旺文社,1986.5.14,
1-3-1,일,歴史群像シリーズ 28: 群雄三国志―諸葛孔明と勇将、激闘の軌跡 ,,,,学研プラス,1992.5.1,2001.8.1
1-3-1,일,全論 諸葛孔明,,渡辺精一 ,,講談社 ,2004.6.14,
1-3-1,일,歴史群像シリーズ 18: 三国志 下巻 諸葛孔明、中原回復への冀望,,,,学習研究社,1990.4.30,1996.2.20
1-3-1,일,歴史群像シリーズ 28: 群雄三国志―諸葛孔明と勇将、激闘の軌跡 ,,,,学習研究社,1992.5.1,1996.2.20
1-3-1,일,歴史群像シリーズ 29: 群雄三国志―諸葛孔明と勇将、激闘の軌跡,,,,学習研究社,1992.5.2,1996.2.21
1-3-1,일,歴史群像シリーズ 18: 三国志 下巻 諸葛孔明、中原回復への冀望 ,,,,学習研究社,1990.4.30,1996.2.20
1-3-1,일,諸葛孔明 (図解雑学),,渡邉義浩,,ナツメ社,2002.5.7,
1-3-1,일,諸葛孔明 (現代視点・中国の群像),,旺文社,,旺文社,1985.1.25,
1-3-1,,제갈량 신전,,章映阁,,상해인민출판사,1984.9,
1-3-1,,제갈공명의 생애,,寺尾善雄,,旺文社,1986.5.14,
1-3-1,,제갈공명(불세출 군사의 机略纵横),,會田雄次　陳舜臣,,다이야몬드사,1989.12.22,1992.5.22
1-3-1,,"제갈공명 상,하",,진순신,,중앙공론사,1991.3.25,1991.7.20
1-3-1,,제갈공명(삼국지와 그 시대),,,,,1978.3.5,1980.5.10
1-3-1,,제갈공명의 병법,,,수옥양,徳間書店,1987.4.10,1978.1.1
1-3-1,,제갈공명과 병법(제갈량 심서),,,강무학,가정문고사,1981.3.15,1981.3.5
1-3-1,,제갈공명(평범사 간 대삼국지 제11권),,,,평범사,1981.8.30,
1-3-1,,"소설 제갈공명 상,하",,진순신,박희준,도서출판 까치,1991.7.20,
1-3-1,,제갈량의 지혜,,임양섭,,도서출판 전인,1986.2.8,
1-3-1,,평전 제갈공명,,狩野直祯,임종상,동국출판사,1983.3.10,
1-3-1,,"제갈량대전 상,중,하",,전문덕,,远流出版,1992.10.16,1993.1.16
1-3-1,,"连环图书 제갈량전 8권(1,2권 없음)",,,,海鸥出版,,
1-3-1,,제갈공명,,,,旺文社,1985.1.25,1985
1-3-2 조조,,,,,,,,
1-3-2,한,삼국지 조조전 1,,왕샤오레이,하진이/홍민경,다연,2017.1.12,2017.1.20
1-3-2,한,삼국지 조조전 6,,왕샤오레이,하진이/홍민경,다연,2017.1.12,2017.1.20
1-3-2,한,삼국지 조조전 11,,왕샤오레이,하진이/홍민경,다연,2017.1.12,2017.1.20
1-3-2,한,삼국지 조조전 12,,왕샤오레이,하진이/홍민경,다연,2017.1.12,2017.1.20
1-3-2,한,삼국지 조조전 13,,왕샤오레이,하진이/홍민경,다연,2017.1.12,2017.1.20
1-3-2,한,삼국지 조조전 14,,왕샤오레이,하진이/홍민경,다연,2017.1.12,2017.1.20
1-3-2,한,조조 같은 놈 - 매뉴얼,,왕경국,,스타북스,2009.10.15,2009.10.20
1-3-2,한,조조의 재발견,,김학주,,연암서가,2021.11.15,2021.11.20
1-3-2,한,조조 같은 놈,,왕경국 장윤철,,스타북스,2009.10.20,
1-3-2,중한,난세의 리더 조조,,친타오,양성희,더봄,2022.3.22,2022.3.25
1-3-2,중한,판세를 읽는 승부사 조조,,자오위핑,박찬철,위주덤하우스,2014.8.1,2014.8.8
1-3-2,중한,조조평전,,장쭤야오,남종진,민음사,2010.10.29,2015.7.21
1-3-2,중,曹操,,韩钟亮,,北方文艺出版社,2005.1,
1-3-2,중,曹操传,,张作耀,,人民出版社,2000.1,2004.12
1-3-2,일,曹操―三国志の真の主人公,,堀敏一,,刀水書房,2001.10.10,
1-3-2,일,曹操: 奸雄に秘められた「時代の変革者」の実像,,三国志学会,,山川出版社,2019.7.10,2019.7.20
1-3-2,월,三国志 曹操,,別冊宝島編集部,,宝島社,2016.3.23,
1-3-2,,소설 조조,,권오석,,우리터,1993.9.20,1994.4.2
1-3-2,,조조전,,中村愿,,新人物往来社,1986.11.20,
1-3-2,,조조의 재평가,,羅彩勳,,연지사,1983.7.30,
"1-3-3 삼국 인물
열전(列傳)",,,,,,,,
1-3-3,한일,삼국지 인재전쟁,,渡邉義浩,노만수,더봄,2023.8.21,
1-3-3,중한,결국 이기는 사마의,,친타오,박소정,더봄,2018.11.20,2022.3.29
1-3-3,중한,자기 통제의 승부사 사마의,,자오위핑,박찬철,위즈덤하우스,2013.10.7,2013.12.5
1-3-3,중,三国英雄,故事里的中国 4 ,公孙策,,广西师范大学出版社,2023.9,
1-3-3,중,三国 人物风云录,,宋杰,,中华书局,2023.2,2024.8
1-3-3,중,三国志人物像,,,,,,
1-3-3,중,三国人物风云录,,宋杰,,中华书局,2023.2,
1-3-3,중,张飞,三国故事 人物篇,,,上海人民美术出版社,2018.6,
1-3-3,중,关公,三国故事 人物篇,,,,,
1-3-3,중,三气周瑜,三国故事 人物篇,,,,,
1-3-3,중,《三国演义》人物百图,,赵成伟,,天津杨柳青画社,2014.9,2019.1
1-3-3,중,方诗铭论三国人物,,方诗铭,,上海古籍出版社,2006.1,
1-3-3,중,品三国前传之汉代风云人物,,易中天,,东方出版社,2006.12,2006.12
1-3-3,일한,영웅의 역사 4 삼국지의 영웅,,"타츠마 요시스케
모리야 히로시",이재정,솔출판사,2000.1.5,2000.1.20
1-3-3,일,三国志群雄173人,,新人物往来社,,新人物往来社,2000.6.1,
1-3-3,일,三国志群雄173人採点データファイル,,新人物往来社,,新人物往来社,2020.6.1,
1-3-3,일,新・歴史群像シリーズ7: 三国志英雄録　万夫不当の剛勇、機略縦横の知謀宏友,,,,学習研究社,2007.3.1,2009.4.1
1-3-3,일,歴史群像シリーズ 17: 三国志 上巻 曹操・劉備・孫権、天下への大計,,,,学習研究社,1990.3.31,2000.6.30
1-3-3,일,三国志 英傑たちのその後と謎,,武光誠,,宝島社,2015.8.22,
1-3-3,일,英雄たちの「志」 三国志の魅力,,渡邉義浩,,汲古書院,2015.4.16,
1-3-3,일,集中講義 三国志: 正史の英雄たち,,渡邉義浩,,NHK出版,2019.7.30,2019.8.25
1-3-3,일,大三国志―中原に覇を競った英傑たち,,小穴康二,,世界文化社,2009.4.10,
1-3-3,일,曹操・劉備・孫権 (現代視点・中国の群像),,旺文社,,旺文社,1985.2.22,
1-3-3,,삼국호걸조합,,仓吉页,,생활역사,1992.8,
1-3-3,,"조조, 유비, 손권",,,,왕문사,1985.2.22,
1-3-3,,삼국지의 영걸,,竹田晃,,講談社,1990.12.20,1991.1.24
1-3-3,,"삼국지(영웅 kokoni aki, 상,중,하)",,shibadaa renjaburo,,講談社,1975.6.16,1981.12.7
1-3-3,,삼국인물논집,,양강,,대만상무인서관,1969.2,1980.6
1-4 사서(史書),,,,,,,,
"1-4-1 한/후한&
삼국정립",,,,,,,,
1-4-1,중,品三国,,易中天,,浙江文艺出版社,2023.8,2024.7
1-4-1,한,한서열전,,반고,홍대표,범우사,1997.6.30,
1-4-1,한,삼국지와 고구려,,우재훈,,북랩,2024.7.12,
1-4-1,한,초한지 1 짧은 제국의 황혼,,이문열,,RHK,2020.11.5,2020.11.15
1-4-1,한,초한지 2 바람아 불어라,,이문열,,RHK,2020.11.5,2020.11.15
1-4-1,한,초한지 3 칼과 영광,,이문열,,RHK,2020.11.5,2020.11.15
1-4-1,한,초한지 4 서초패왕,,이문열,,RHK,2020.11.5,2020.11.15
1-4-1,한,초한지 5 흙먼지 말아 올리며 다시 오다,,이문열,,RHK,2020.11.5,2020.11.15
1-4-1,한,초한지 6 동트기 전,,이문열,,RHK,2020.11.5,2020.11.15
1-4-1,한,초한지 7뒤집히는 대세,,이문열,,RHK,2020.11.5,2020.11.15
1-4-1,한,초한지 8 밝아 오는 한의 동녘,,이문열,,RHK,2020.11.5,2020.11.15
1-4-1,한,초한지 9 오강에 지다,,이문열,,RHK,2020.11.5,2020.11.15
1-4-1,한,두 한나라와 두 로마,이중톈 중국사 09,이중톈,한수희,글항아리,2016.8.16,2021.8.19
1-4-1,한,삼국시대,이중톈 중국사 10,이중톈,김택규,글항아리,2018.5.14,2021.8.20
1-4-1,한,삼국지와 고구려,,우재훈,,북랩,2024.7.12,
1-4-1,한,십팔사략7 조조 유비 손권의 삼국시대,,고우영,,애니북스,2012.11.10,2012.11.20
1-4-1,한,십팔사략6 후한시대,,고우영,,애니북스,2012.11.10,2012.11.20
1-4-1,한,三国史话,,陈致平,,三民书局,1973.4,1981.1
1-4-1,중한,이중톈 삼국지 강의,,이중톈,김성배 양휘웅,김영사,2007.5.14,2007.9.27
1-4-1,중,后汉书三国志补表三十种 上,,熊方,,中华书局,2023.6,
1-4-1,중,后汉书三国志补表三十种 中,,熊方,,中华书局,2023.6,
1-4-1,중,后汉书三国志补表三十种 下,,熊方,,中华书局,2023.6,
1-4-1,중,三国史,,马植杰,,山西人民出版社,2024.8,
1-4-1,중,三国志的世界 后汉三国时代,,金文京,何晓毅/梁蕾,广西师范大学出版社,2014.1,2021.5
1-4-1,중,三国大传,,周殿福,,时代文艺出版社,2009.1,
1-4-1,중,三国外传,,"湖北省群众艺术馆
江云 韩致中",,上海文艺出版社,1986.8,
1-4-1,중,三国史话,,吕思勉,,译林出版社,2016.1,
1-4-1,중,三国说林,,劳舒,,江西教育出版社,1999.1,
1-4-1,중,细说三国,,黎东方,,上海人民出版社,2013.12,2015.8
1-4-1,중,品三国 上,,易中天,,上海文艺出版社,2006.7,2016.3
1-4-1,중,品三国 下,,易中天,,上海文艺出版社,2007.3,2007.4
1-4-1,중,图品三国,,何满子,,上海三联书店,2006.7,
1-4-1,중,品三国,,王萍,,当代世界出版社,2006.8,
1-4-1,중,后汉书 全,,,,경인문화사,1977.8.30,
1-4-1,중,三国史话,,陈致平,,三民书局,1973,
1-4-1,중,二十五史 新编 后汉书,,陈勇 庄和,,上海古籍出版社,1997.1,
1-4-1,중,品三国 上,,盛巽昌,,北方文艺出版社,2007.4,
1-4-1,중,柏杨品三国,,柏杨,,中信出版社,2006.8,
1-4-1,중,三国手册,,逸安,,中州古籍出版社,2007.1,
1-4-1,중,二十五史新编 三国志,,罗开玉,,中华书局,1992.2,2007.12
1-4-1,중,品三国,,易中天,,上海文艺出版社,2007.3,2016.1
1-4-1,일,中国の歴史４　三国志の世界　後漢　三国時代,,金文京,,講談社,2005.1.14,
1-4-1,일,漢書・後漢書・三国志列伝選,,本田済,,平凡社,1973.4.5,1994.7.25
1-4-1,일,十八史略で読む三国志,,渡邉義浩,,朝倉書店,2012.8.30,
1-4-1,일,新版 三国志新聞―三国時代の激闘をまるごとスクープ,,三国志新聞編纂委員会,,日本文芸社,2003.9.25,2005.2.15
1-4-1,일,春秋戦国500年の興亡,,渡辺義浩,,洋泉社,2015.11.5,
1-4-1,,삼국사화,,陈致平,,삼민서국,1973,1981
1-4-1,,삼국사화,,马植杰,,인민출판사,1993.1,
1-4-1,,삼국흥망,,,,요녕소년아동출판사,1989.11.1,
1-4-1,,삼국史話(사화),,陈致平,,三民书局,1973.4,
1-4-1,,삼국지 색인(24사 색인 중4),,,,大通书局,1973.12,
1-4-1,,삼국사 연구,,张大可,,甘肃人民出版社,1989.9,
1-4-1,,삼국지 고사物語,,駆田信二,,河出書房,1993.8.16,
1-4-1,,漢蜀話,,,,성도무후사박물관,1984.9.1,
1-4-1-1 위진남북조,,,,,,,,
1-4-1-1,한,위진남북조시대를 위한 변명,,,권중달,삼화,2011.12.2,2011.12.12
1-4-1-1,한,남조와 북조,이중톈 중국사 12,이중톈,김택규,글항아리,2020.8.14,2020.8.21
1-4-1-1,한,위진풍도,이중톈 중국사 11,이중톈,김택규,글항아리,2018.10.19,2018.10.26
1-4-2 통사,,,,,,,,
1-4-2,한,만국사물기원역사,,장지연,황재문,한겨레출판,2006.1.4,
1-4-2,한,한권으로 읽은 자치통감,,사마광/푸챵,나진희,현대지성,2019.4.22,2022.9.26
1-4-2,한,东洋三国의 朱子学,,이기동/정용선,,성균관대학교출판부,1995.11.30,
1-4-2,한,중국역사지리,,유원준,,내일의나,2023.1.15,
1-4-2,한,華容道,,,,,,
1-4-2,중한,思政殿訓義 資治通鑑綱目9,,朱熹,성백효 윤은숙,전통문화연구회,2017.12.30,2018.3.15
1-4-2,중한,자치통감7,,사마광,권중달,삼화,2007.1.15,2014.12.15
1-4-2,중한,자치통감6,,사마광,권중달,삼화,2007.1.15,2013.6.1
1-4-2,중한,資治通鑑 - 三國志 상,,사마광,신동준,살림,2004.1.5,2004.1.20
1-4-2,중한,十八史略 中（上）,上下,張基槿,,明文堂,2011.12.28,
1-4-2,중한,世說新語 上,,劉義慶,安吉煥,明文堂,2006.5.30,2015.5.15
1-4-2,중한,자치통감을 읽다,,장펑,김영문,378,2016.10.20,2016.11.15
1-4-2,중한,古文眞寶,,,韓武熙,혜원출판사,1998.9.25,
1-4-2,중한,자치통감 - 삼국지,,사마광,신동준,살림출판사,2004.1.10,
1-4-2,중,老子,"蔡志忠 古文对照全彩大字版
国学漫画·成语典故系列",蔡志忠,,中国出版集团 现代出版社,,
1-4-2,중,庄子,"蔡志忠 古文对照全彩大字版 
国学漫画·成语典故系列",蔡志忠,,中国出版集团 现代出版社,,
1-4-2,중,论语,"蔡志忠 古文对照全彩大字版 
国学漫画·成语典故系列",蔡志忠,,中国出版集团 现代出版社,,
1-4-2,중,孟子,"蔡志忠 古文对照全彩大字版 
国学漫画·成语典故系列",蔡志忠,,中国出版集团 现代出版社,,
1-4-2,중,大学·中庸,"蔡志忠 古文对照全彩大字版 
国学漫画·成语典故系列",蔡志忠,,中国出版集团 现代出版社,,
